Student_ID,Gender,Age,Department,Year,Attendance_Percentage,Study_Hours_Per_Day,Internet_Usage_Hours,Assignments_Completed,Sports_Participation,Hostel_Resident,Family_Income_Level,Exam_Score,CGPA
STU10000,Male,18,CE,4,75.1,5.0,8.1,6,No,Yes,Medium,100.0,10.0
STU10001,Female,22,BBA,2,88.3,3.7,3.6,9,No,No,High,84.9,7.72
STU10002,Male,21,ME,3,91.3,1.8,1.5,0,No,No,Low,68.9,7.42
STU10003,Male,25,CSE,1,67.9,4.7,2.9,2,No,Yes,Low,71.8,7.24
STU10004,Male,21,ECE,1,77.0,4.5,4.1,2,Yes,Yes,Low,79.5,7.55
STU10005,Female,18,EEE,4,91.8,3.7,3.2,9,No,No,Medium,92.5,10.0
STU10006,Male,21,CSE,4,73.5,4.9,1.5,1,Yes,Yes,Low,75.2,8.15
STU10007,Male,20,CSE,2,85.3,5.2,2.2,9,Yes,No,Low,100.0,10.0
STU10008,Male,23,ECE,4,80.1,2.9,6.4,4,Yes,No,Low,89.9,9.07
STU10009,Female,22,EEE,1,83.3,2.1,1.2,3,Yes,Yes,Medium,67.0,6.87
STU10010,Male,18,CE,1,80.4,3.5,0.5,5,Yes,No,Medium,84.6,7.38
STU10011,Male,21,BBA,3,87.5,4.3,3.2,1,No,No,Low,70.4,7.41
STU10012,Male,23,EEE,3,69.8,3.3,0.5,3,No,Yes,Medium,77.3,7.82
STU10013,Male,23,ME,1,70.9,2.0,2.2,6,Yes,No,Low,82.7,8.39
STU10014,Female,21,CSE,1,94.6,3.7,1.5,0,No,Yes,Low,78.3,7.94
STU10015,Male,25,ME,2,100.0,0.5,1.5,10,No,No,High,78.0,7.57
STU10016,Female,20,CE,2,79.9,3.0,4.1,2,Yes,No,High,72.9,6.82
STU10017,Female,19,ME,1,97.2,4.8,4.5,0,Yes,Yes,Medium,79.6,8.01
STU10018,Female,20,EEE,4,72.3,4.9,2.4,1,Yes,Yes,Medium,79.3,7.26
STU10019,Male,21,ME,3,74.7,0.5,3.8,8,Yes,No,High,68.2,6.96
STU10020,Female,22,CE,1,94.6,3.2,2.3,9,No,Yes,Medium,94.3,8.92
STU10021,Male,19,CE,4,88.0,4.4,4.8,4,Yes,Yes,Medium,78.0,8.28
STU10022,Female,18,CE,1,96.1,1.7,1.0,3,Yes,No,Medium,51.4,4.43
STU10023,Female,20,EEE,3,84.7,2.9,4.3,3,Yes,Yes,Low,86.0,8.58
STU10024,Female,21,CE,3,69.9,5.3,4.5,7,No,No,Medium,94.0,9.44
STU10025,Female,20,CSE,2,82.2,2.8,8.7,2,Yes,Yes,Medium,75.4,8.15
STU10026,Female,19,CE,2,92.0,5.9,0.5,3,No,No,Medium,87.9,8.92
STU10027,Female,24,ME,2,78.7,2.4,9.3,1,Yes,Yes,Low,66.3,6.22
STU10028,Female,20,BBA,2,77.1,5.6,5.5,5,No,Yes,High,84.9,8.04
STU10029,Female,18,ME,3,84.8,3.6,7.7,8,No,No,Low,100.0,10.0
STU10030,Male,18,BBA,4,74.4,2.2,5.8,3,No,No,Medium,67.9,6.77
STU10031,Male,17,ME,4,83.0,5.6,2.1,10,No,No,Medium,92.2,9.12
STU10032,Female,20,EEE,4,80.6,1.7,5.3,5,No,Yes,Medium,80.0,7.65
STU10033,Female,25,ME,1,75.1,2.3,2.7,3,No,No,Low,81.6,7.55
STU10034,Female,23,EEE,2,89.8,4.2,3.8,1,No,No,Medium,79.5,8.9
STU10035,Male,23,EEE,2,86.5,3.6,1.7,5,Yes,No,Low,97.4,9.77
STU10036,Female,23,CE,3,76.5,3.9,2.6,6,No,No,Medium,89.2,8.37
STU10037,Male,24,CSE,3,79.9,2.9,5.8,3,No,No,Medium,75.5,7.92
STU10038,Male,17,BBA,1,77.3,1.7,4.9,10,Yes,No,High,83.2,8.62
STU10039,Male,24,CE,1,73.6,2.5,6.0,6,No,No,High,83.2,7.7
STU10040,Male,20,CE,4,63.0,5.5,1.2,10,No,No,Medium,100.0,9.71
STU10041,Male,20,EEE,3,75.2,1.5,0.5,7,No,Yes,High,80.7,8.3
STU10042,Female,20,EEE,2,73.8,6.0,6.2,10,No,Yes,Low,100.0,10.0
STU10043,Female,22,BBA,4,81.1,4.0,6.1,2,No,Yes,High,80.8,7.7
STU10044,Female,23,ME,2,84.4,2.6,4.4,1,Yes,No,Low,77.5,6.82
STU10045,Female,22,ME,4,72.0,0.5,4.8,4,Yes,Yes,Medium,59.8,6.1
STU10046,Female,17,CE,2,83.7,0.7,5.7,1,No,Yes,Low,50.2,5.45
STU10047,Male,24,ECE,1,70.4,3.0,4.4,9,No,Yes,High,88.6,8.83
STU10048,Female,23,ECE,4,78.7,2.8,5.1,4,No,No,Medium,69.6,6.81
STU10049,Female,22,ME,2,74.0,3.7,5.6,9,Yes,No,Medium,79.4,8.73
STU10050,Male,22,ECE,2,87.5,6.1,3.8,5,Yes,No,High,100.0,8.99
STU10051,Female,21,ME,3,81.2,4.3,3.3,7,No,Yes,Medium,65.2,6.88
STU10052,Male,22,EEE,4,78.9,3.3,4.8,5,Yes,No,Medium,87.3,9.12
STU10053,Female,25,CE,2,73.7,5.3,8.5,3,No,Yes,Low,78.6,7.47
STU10054,Male,25,CSE,3,76.7,3.7,2.3,2,Yes,No,High,71.4,5.98
STU10055,Female,24,CE,2,98.3,5.9,3.1,1,Yes,Yes,High,94.6,9.84
STU10056,Female,25,ME,4,75.0,2.5,0.5,0,Yes,No,High,86.1,8.77
STU10057,Male,24,ME,1,84.8,1.8,4.9,1,Yes,Yes,Low,73.6,8.07
